ticker,date,avg_sentiment,sentiment_ema_3,sentiment_ema_7,sentiment_delta,positive_article_count,negative_article_count,total_article_count,rsi,macd,macd_signal,macd_diff,ema20,ema50,bollinger_high,bollinger_low,bollinger_pband,atr,return_1d,return_5d,return_20d,volume_ratio,spy_return_1d,spy_return_5d,spy_volatility,vix_level,sector_return_5d,future_return_1d,future_return_5d,future_return_10d,target
AAPL,2021-11-23,0.0,0.0,0.0,0.0,0,0,0,76.82530129555082,3.131311202931812,2.008635398365543,1.1226758045662688,149.54054220754563,146.4430197798863,157.00007421394562,140.41103571037078,1.0400487198602724,2.9541925038894137,0.002422260034193759,0.06894045683259506,0.08254486909707369,1.228993932122305,0.001326008924752178,-0.002322619699737873,0.06822905199393542,19.3799991607666,-0.0016540051527585968,0.003283266701810766,0.02081624962001692,0.08469095725927123,1
AAPL,2021-11-24,0.0,0.0,0.0,0.0,0,0,0,77.4971625799071,3.4215156599798604,2.2912114506884067,1.1303042092914537,150.36354755812908,146.90337580376024,158.44337915607744,140.2675369816179,0.9856248329569722,2.9176063370242393,0.003283266701810766,0.05505250367582215,0.08952817726440578,0.8813477603303829,0.0026697784884704696,0.0027768550177158344,0.0648464304469398,18.579999923706055,0.007881271368023442,-0.03167840015773701,0.0112390516409299,0.07793020715909194,1
AAPL,2021-11-26,0.0,0.0,0.0,0.0,0,0,0,59.511331284187136,3.210157826227686,2.4750007257962627,0.7351571004314232,150.63093756003346,147.14917057922554,158.80666353678637,140.34012906575268,0.6948252002831847,3.0985280524465155,-0.03167840015773701,-0.006714570493293048,0.02929033665799613,0.9909927716957783,-0.022303152480621737,-0.022906692178444512,0.1023526171272162,28.6200008392334,-0.017879481758268197,0.021873789626531547,0.03207708853677702,0.14437882637406776,1
AAPL,2021-11-29,0.0,0.0,0.0,0.0,0,0,0,65.30869381214549,3.27525212310033,2.6350510052570764,0.6402011178432536,151.19195073790976,147.5167158870102,159.6556685886809,140.5322266139558,0.8361125227828358,3.1828035673818755,0.021873789626531547,-0.0019309872963103217,0.07125444402334666,1.1700635123354328,0.012266764018447198,-0.009149034871675905,0.11093001631031088,22.959999084472656,-0.003473734501627409,0.03157773237492101,0.03170232051752238,0.09673001944471903,1
AAPL,2021-11-30,0.0,0.0,0.0,0.0,0,0,0,71.73769363512297,3.6832083149604102,2.8446824671977433,0.8385258477626669,152.1702575593737,148.06367496451102,161.3932639477475,140.4119179370181,1.0033795932585778,3.3461787745169373,0.03157773237492101,0.026580733738731394,0.11131338355697251,2.1534733689887724,-0.019457608633516074,-0.025685897589843562,0.13195692266731035,27.190000534057617,-0.01794430248682698,-0.003206568764461265,0.03557145173807348,0.05462781272905075,1
AAPL,2021-12-01,0.0,0.0,0.0,0.0,0,0,0,70.26866346499857,3.9195565551160882,3.0596572847814123,0.859899270334676,153.00608316244302,148.5688809028283,162.76476211071397,140.50254593371963,0.9183218910167861,3.5097451601972596,-0.003206568764461265,0.02081624962001692,0.09992308306757573,1.789514851140023,-0.01110742769530181,-0.03778392813371194,0.13601746513058996,31.1200008392334,-0.037018392730946974,-0.006129438550368632,0.06257218932695348,0.08818353806036054,1
AAPL,2021-12-02,0.0,0.0,0.0,0.0,0,0,0,67.4350602068412,3.98136631400277,3.243999090625684,0.737367223377086,153.66835287660396,149.01558812864417,163.78820808867246,140.69919272919864,0.8341941885378479,3.7453490802032454,-0.006129438550368632,0.0112390516409299,0.08257316828475722,1.5350166639638658,0.015316443231126659,-0.025647505622570652,0.14601659227185987,27.950000762939453,-0.032154306843871175,-0.011724739159562318,0.06594994072859707,0.05190480746547812,1
AAPL,2021-12-03,0.0,0.0,0.0,0.0,0,0,0,62.29216385338923,3.834809466603417,3.362161165821231,0.4726483007821862,154.08893135310672,149.3712288639869,164.35818157903148,141.2134599614959,0.7289336720993284,3.843424776145604,-0.011724739159562318,0.03207708853677702,0.07363663750395999,1.2833986705503317,-0.00870129161320613,-0.012092171882908103,0.14709805943543056,30.670000076293945,-0.023784428515236336,0.02150272663102457,0.10881138539419188,0.05746421818607923,1
AAPL,2021-12-06,0.0,0.0,0.0,0.0,0,0,0,67.17801093355206,3.947449133673871,3.479218759391759,0.46823037428211167,154.79319247144923,149.84622667699537,165.39363419935887,141.5494245774966,0.8360205196287662,3.9903114163282356,0.02150272663102457,0.03170232051752238,0.09280786830372124,1.1428188706453846,0.011843510694196794,-0.012505240144325344,0.15360559417443417,27.18000030517578,-0.02508010665437056,0.035446396360047074,0.06302951697789869,0.026796575713829186,1
AAPL,2021-12-07,0.0,0.0,0.0,0.0,0,0,0,73.42282886601878,4.447330933708116,3.6728411942550308,0.7744897394530854,155.97552531968546,150.52706827311044,167.4173753939052,141.55155008216903,0.9918932408516515,4.142056390386251,0.035446396360047074,0.03557145173807348,0.13786187168181427,1.2370555494195155,0.020684509145950197,0.027921498470707677,0.171568739330133,21.889999389648438,0.011979647696403549,0.022783098893852532,0.018401782860075582,0.010573891167310313,1
AAPL,2021-12-08,0.0,0.0,0.0,0.0,0,0,0,76.61214963712425,5.092186862597629,3.9567103279235507,1.135476534674078,157.4080654468843,151.3306027194698,170.02295172302948,141.31665551574005,1.034635082320076,4.213191578487959,0.022783098893852532,0.06257218932695348,0.16093107480495658,1.1659919794941773,0.0026479970985880917,0.042219812829853015,0.17137863736139286,19.899999618530273,0.03011638583921317,-0.002970078917480826,0.024103161169340984,0.00319849161961826,1
